KeyRoiName	KeyRoiName	Value	PF
F1#2	F2#4	0.15	True
F1#3	E1#2	-0.16	True
F1#3	F2#1	0.23	True
F1#3	F2#4	0.15	True
F1#4	E1#1	-0.14	True
F1#4	F0#2	-0.01	True
F1#4	F0#3	0.01	True
F2#1	F1#2	-0.23	True
F2#1	F1#3	-0.23	True
F2#2	F3#1	-0.17	True
F2#2	F3#4	-0.21	True
F2#3	E2#2	-0.31	True
F2#3	F3#1	-0.13	True
F2#3	F3#4	-0.17	True
F2#4	E2#1	-0.27	True
F2#4	F1#2	-0.15	True
F2#4	F1#3	-0.15	True
F3#1	F2#2	0.17	True
F3#1	F2#3	0.13	True
F3#2	F4#1	0.08	True
F3#2	F4#4	0.04	True
F3#3	E3#1	-0.06	True
F3#3	F4#1	0.12	True
F3#3	F4#4	0.08	True
F3#4	E2#2	-0.14	True
F3#4	E3#1	-0.04	True
F3#4	F2#2	0.21	True
F3#4	F2#3	0.17	True
F4#1	F3#2	-0.08	True
F4#1	F3#3	-0.12	True
F4#2	F5#1	-0.03	True
F4#2	F5#4	-0.07	True
F4#3	E4#1	-0.16	True
F4#3	F5#1	-0.01	True
F4#3	F5#4	-0.05	True
F4#4	E3#2	-0.15	True
F4#4	F3#2	-0.04	True
F4#4	F3#3	-0.08	True
F5#1	F4#2	0.03	True
F5#1	F4#3	0.01	True
F5#2	F6#1	0.10	True
F5#2	F6#4	0.06	True
F5#3	E5#1	-0.20	True
F5#3	F6#1	0.11	True
F5#3	F6#4	0.07	True
F5#4	E4#2	-0.15	True
F5#4	F4#2	0.07	True
F5#4	F4#3	0.05	True
F6#1	F5#2	-0.10	True
F6#1	F5#3	-0.11	True
F6#2	F7#1	-0.12	True
F6#2	F7#4	-0.15	True
F6#3	E5#2	-0.27	True
F6#3	E6#1	-0.25	True
F6#3	F7#1	-0.09	True
F6#3	F7#4	-0.12	True
F6#4	F5#2	-0.06	True
F6#4	F5#3	-0.07	True
F7#1	F6#2	0.12	True
F7#1	F6#3	0.09	True
F7#2	F8#1	0.01	True
F7#2	F8#4	-0.02	True
F7#3	E6#2	-0.21	True
F7#3	F8#1	0.01	True
F7#3	F8#4	-0.01	True
F7#4	E6#1	-0.13	True
F7#4	F6#2	0.15	True
F7#4	F6#3	0.12	True
F8#1	F7#2	-0.01	True
F8#1	F7#3	-0.01	True
F8#2	F9#1	0.15	True
F8#2	F9#4	0.10	True
F8#3	E7#2	-0.16	True
F8#3	F9#1	0.17	True
F8#3	F9#4	0.12	True
F8#4	E7#1	-0.11	True
F8#4	F7#2	0.02	True
F8#4	F7#3	0.01	True
F9#1	F8#2	-0.15	True
F9#1	F8#3	-0.17	True
F9#2	F10#1	-0.12	True
F9#2	F10#4	-0.15	True
F9#3	F10#1	-0.10	True
F9#3	F10#4	-0.14	True
F9#4	E8#1	-0.26	True
F9#4	F8#2	-0.10	True
F9#4	F8#3	-0.12	True
F10#1	F9#2	0.12	True
F10#1	F9#3	0.10	True
F10#2	F11#1	0.02	True
F10#2	F11#4	-0.04	True
F10#3	E9#1	-0.18	True
F10#3	F11#1	0.04	True
F10#3	F11#4	-0.02	True
F10#4	E8#2	-0.18	True
F10#4	F9#2	0.15	True
F10#4	F9#3	0.14	True
F11#1	F10#2	-0.02	True
F11#1	F10#3	-0.04	True
F11#2	F12#1	0.06	True
F11#2	F12#4	0.02	True
F11#3	E10#1	-0.17	True
F11#3	F12#1	0.11	True
F11#3	F12#4	0.06	True
F11#4	E9#2	-0.15	True
F11#4	F10#2	0.04	True
F11#4	F10#3	0.02	True
F12#1	F11#2	-0.06	True
F12#1	F11#3	-0.11	True
F12#2	F13#1	-0.07	True
F12#2	F13#4	-0.08	True
F12#3	E11#1	-0.17	True
F12#3	F13#1	-0.04	True
F12#3	F13#4	-0.05	True
F12#4	E10#2	-0.20	True
F12#4	F11#2	-0.02	True
F12#4	F11#3	-0.06	True
F13#1	F12#2	0.07	True
F13#1	F12#3	0.04	True
F13#2	F14#1	-0.02	True
F13#2	F14#4	0.01	True
F13#3	E11#2	-0.18	True
F13#3	F14#1	-0.01	True
F13#3	F14#4	0.02	True
F13#4	E11#1	-0.12	True
F13#4	F12#2	0.08	True
F13#4	F12#3	0.05	True
F14#1	F13#2	0.02	True
F14#1	F13#3	0.01	True
F14#2	F15#1	-0.01	True
F14#2	F15#4	-0.01	True
F14#3	E12#2	-0.22	True
F14#3	F15#1	-0.04	True
F14#3	F15#4	-0.05	True
F14#4	E12#1	-0.17	True
F14#4	F13#2	-0.01	True
F14#4	F13#3	-0.02	True
F15#1	F14#2	0.01	True
F15#1	F14#3	0.04	True
F15#2	F16#1	-0.04	True
F15#2	F16#4	-0.07	True
F15#3	F16#1	-0.01	True
F15#3	F16#4	-0.05	True
F15#4	E13#1	0.03	True
F15#4	F14#2	0.01	True
F15#4	F14#3	0.05	True
F16#1	F15#2	0.04	True
F16#1	F15#3	0.01	True
F16#3	E13#2	0.05	True
F16#4	F15#2	0.07	True
F16#4	F15#3	0.05	True

