KeyRoiName	KeyRoiName	Value	PF
F10#3	F11#1	0.01	False
F10#3	F11#4	0.01	False
F10#4	E8#2	0.01	False
F10#4	F9#2	0.00	False
F10#4	F9#3	-0.01	False
F11#1	F10#2	0.01	False
F11#1	F10#3	-0.01	False
F11#2	F12#1	0.01	False
F11#2	F12#4	-0.01	False
F11#3	E10#1	0.01	False
F11#3	F12#1	0.02	False
F11#3	F12#4	0.00	False
F11#4	E9#2	0.00	False
F11#4	F10#2	0.01	False
F11#4	F10#3	-0.01	False
F12#1	F11#2	-0.01	False
F12#1	F11#3	-0.02	False
F12#2	F13#1	0.02	False
F12#2	F13#4	0.01	False
F12#3	E11#1	0.01	False
F12#3	F13#1	0.02	False
F12#3	F13#4	0.01	False
F12#4	E10#2	0.01	False
F12#4	F11#2	0.01	False
F12#4	F11#3	0.00	False
F13#1	F12#2	-0.02	False
F13#1	F12#3	-0.02	False
F13#2	F14#1	-0.02	False
F13#2	F14#4	0.01	False
F13#3	E11#2	0.00	False
F13#3	F14#1	-0.01	False
F13#3	F14#4	0.02	False
F13#4	E11#1	0.00	False
F13#4	F12#2	-0.01	False
F13#4	F12#3	-0.01	False
F14#1	F13#2	0.02	False
F14#1	F13#3	0.01	False
F14#2	F15#1	-0.01	False
F14#2	F15#4	-0.01	False
F14#3	E12#2	-0.01	False
F14#3	F15#1	-0.01	False
F14#3	F15#4	-0.02	False
F14#4	E12#1	-0.02	False
F14#4	F13#2	-0.01	False
F14#4	F13#3	-0.02	False
F15#1	F14#2	0.01	False
F15#1	F14#3	0.01	False
F15#2	F16#1	0.03	False
F15#2	F16#4	0.02	False
F15#3	F16#1	0.02	False
F15#3	F16#4	0.02	False
F15#4	E13#1	0.00	False
F15#4	F14#2	0.01	False
F15#4	F14#3	0.02	False
F16#1	F15#2	-0.03	False
F16#1	F15#3	-0.02	False
F16#3	E13#2	-0.01	False
F16#4	F15#2	-0.02	False
F16#4	F15#3	-0.02	False

